x,y,category
83,99,0
-4,11,0
6,9,0
-4,7,0
-7,6,0
6,11,0
6,4,0
7,6,0
12,4,0
17,0,0
10,4,0
12,9,0
2,7,0
-3,9,0
9,4,0
-228,9,0
207,140,0
201,146,0
233,14,0
242,37,0
-134,164,0
-108,142,0
-190,4,0
-161,88,0
138,127,0
196,20,0
181,36,0
196,56,0
170,112,0
28,94,0
133,56,0
-41,44,0
-15,58,0
20,4,0
0,14,0
9,9,0
-1,3,0
2,3,0
10,11,0
10,9,0
4,11,0
4,12,0
15,263,0
53,395,0
-164,176,0
-122,217,0
-142,209,0
-122,216,0
-125,216,0
-128,216,0
-226,3,0
154,208,0
165,183,0
192,164,0
181,181,0
133,217,0
206,181,0
146,217,0
29,403,0
9,206,4
6,190,3
-16,179,3
-23,184,4
-27,168,1
32,192,1
12,168,4
-92,170,4
-152,112,1
-122,124,1
-82,197,4
-112,162,4
-116,160,2
-75,149,4
-139,99,3
-138,89,1
-177,22,1
83,138,4
69,186,3
106,184,3
100,160,4
73,195,2
103,165,4
195,26,4
182,26,4
165,1,2
176,67,1
149,93,2
40,126,4
24,113,4
6,107,3
10,113,1
4,135,1
-5,135,3
-8,145,2
12,140,2
-34,153,1
1,146,4
77,140,1
152,9,3
143,34,1
89,31,1
118,36,3
127,25,2
147,12,3
-57,47,1
26,53,4
-11,44,1
29,50,3
-10,56,2
32,37,1
18,56,3
36,56,1
9,50,3
0,42,2
43,7,2
0,75,1
4,17,3
11,8,2
-10,4,2
24,25,2
23,22,4
15,-3,3
10,0,2
1,9,1
12,-2,4
13,14,2
1,7,1
1,-3,1
-24,1,4
6,7,3
6,-3,3
21,1,3
26,19,2
9,0,2
-19,17,4
9,1,4
6,7,4
9,36,2
10,6,4
-27,0,2
-8,12,3
7,-2,1
17,-10,3
2,4,3
6,30,2
17,9,4
10,0,2
-29,23,4
-4,28,3
10,14,2
1,3,1
9,4,3
-7,1,4
7,22,4
-11,11,3
-26,19,4
32,244,3
-35,271,4
-152,224,4
-79,236,4
-152,213,4
-212,137,1
-213,127,3
-161,189,3
-229,127,2
-234,-13,2
-223,20,3
108,222,1
75,230,3
168,198,4
132,214,1
233,41,1
-41,179,4
15,167,4
53,203,4
47,197,2
21,225,2
20,197,3
-105,162,4
-95,143,1
-108,173,4
-123,129,3
-136,115,3
-111,135,4
-108,131,2
-191,7,4
-204,9,4
146,127,4
