x,y,category
-0.00973,-0.020321,TC
-0.031643,-0.025231,IN
-0.037635,0.006135,CO
-0.034846,-0.001258,CO
0.039665,-0.013351,HI
-0.009157,0.000364,TR
-0.017974,0.006899,CO
0.007563,-0.029111,TC
-0.040214,0.002052,CO
-0.046906,0.011085,CO
-0.017161,0.002734,TR
-0.010996,0.001527,TC
-0.014764,-0.021782,ND
0.000053,0.005079,TR
0.020764,0.006617,HI
-0.005689,0.017549,CO
0.000004,0.011228,CO
-0.013012,0.005923,CO
-0.026521,0.002245,TR
-0.042909,0.000198,TR
0.000258,-0.032524,TC
0.009415,-0.015224,TR
-0.028173,-0.009044,IN
-0.033958,0.013796,ND
0.042982,-0.030727,TR
0.025207,-0.030404,TR
0.075261,-0.014094,EN
-0.022161,-0.022507,CO
-0.028443,0.00608,CO
0.027339,-0.032797,TR
0.015698,-0.023966,MA
0.006939,-0.00812,TR
-0.002544,-0.00636,TC
-0.015426,0.0207,CO
-0.006468,0.007164,TC
0.000401,-0.008114,TR
-0.023683,0.011986,CO
0.063948,-0.009037,EN
0.001947,-0.002209,TR
-0.020001,0.003213,CO
-0.021135,-0.010741,TC
-0.023104,-0.010844,CO
0.005262,-0.023698,CO
0.016937,-0.021865,HI
0.014029,-0.011087,CO
-0.013146,-0.007524,HI
0.014741,-0.022095,TR
0.027172,-0.024139,TR
0.062236,-0.014024,TR
-0.012053,-0.021104,TC
-0.004142,0.000893,TC
-0.012093,-0.003555,TR
0.006445,-0.014897,IN
0.097854,0.003903,EN
0.035823,-0.012392,IN
-0.043227,0.006927,CO
-0.005382,-0.001375,CO
0.031522,-0.032173,IN
0.118658,0.000111,EN
0.129715,0.020113,MA
0.009792,-0.028521,CO
-0.007329,-0.017477,IN
-0.014281,-0.02144,IN
-0.00624,-0.010815,IN
0.028104,-0.025755,TC
-0.023063,-0.004334,CO
-0.018277,-0.008517,CO
-0.043039,-0.003983,CO
-0.027528,0.003786,CO
-0.017698,-0.008456,CO
-0.007092,-0.013706,TC
0.009914,-0.01432,TC
-0.014497,-0.004327,HI
-0.01901,0.012351,HI
0.012668,-0.017676,TC
0.017253,-0.012699,TC
